Date,Name,Year,Letterboxd URI
2021-01-24,Parasite,2019,https://boxd.it/hTha
2021-01-24,Joker,2019,https://boxd.it/h4cS
2021-01-24,Knives Out,2019,https://boxd.it/jWEA
2021-01-24,Inception,2010,https://boxd.it/1skk
2021-01-24,Get Out,2017,https://boxd.it/eOCm
2021-01-24,The Dark Knight,2008,https://boxd.it/2b0k
2021-01-24,Fight Club,1999,https://boxd.it/2a9q
2021-01-24,The Grand Budapest Hotel,2014,https://boxd.it/3ZqO
2021-01-24,Interstellar,2014,https://boxd.it/4VZ8
2021-01-24,Jojo Rabbit,2019,https://boxd.it/iEBG
2021-01-24,Her,2013,https://boxd.it/4O24
2021-01-24,Whiplash,2014,https://boxd.it/7bQA
2021-01-24,Arrival,2016,https://boxd.it/aNGk
2021-01-24,The Wolf of Wall Street,2013,https://boxd.it/3C1m
2021-01-24,Gone Girl,2014,https://boxd.it/6hQu
2021-01-24,1917,2019,https://boxd.it/jj4y
2021-01-24,Django Unchained,2012,https://boxd.it/2cCk
2021-01-24,Guardians of the Galaxy,2014,https://boxd.it/3VH2
2021-01-24,The Social Network,2010,https://boxd.it/17ue
2021-01-24,Dunkirk,2017,https://boxd.it/d0Y6
2021-01-24,Star Wars: The Force Awakens,2015,https://boxd.it/4vru
2021-01-24,Se7en,1995,https://boxd.it/29zs
2021-01-24,Forrest Gump,1994,https://boxd.it/728
2021-01-24,Star Wars: The Last Jedi,2017,https://boxd.it/5xme
2021-01-24,The Matrix,1999,https://boxd.it/2a1m
2021-01-24,Inside Out,2015,https://boxd.it/4KHC
2021-01-24,The Truman Show,1998,https://boxd.it/18U8
2021-01-24,BlacKkKlansman,2018,https://boxd.it/hxL8
2021-01-24,Ex Machina,2014,https://boxd.it/7T2k
2021-01-24,The Lord of the Rings: The Fellowship of the Ring,2001,https://boxd.it/2b5O
2021-01-24,The Avengers,2012,https://boxd.it/1xFW
2021-01-24,The Shawshank Redemption,1994,https://boxd.it/2aHi
2021-01-24,It,2017,https://boxd.it/bC8e
2021-01-24,Tenet,2020,https://boxd.it/leq4
2021-01-24,Nightcrawler,2014,https://boxd.it/780m
2021-01-24,Star Wars: The Rise of Skywalker,2019,https://boxd.it/5xlK
2021-01-24,No Country for Old Men,2007,https://boxd.it/21ew
2021-01-24,The Martian,2015,https://boxd.it/8SeG
2021-01-24,Shutter Island,2010,https://boxd.it/1U82
