Date,Name,Year,Letterboxd URI
2015-03-08,Spirited Away,2001,https://boxd.it/2b4m
2015-03-08,Little Miss Sunshine,2006,https://boxd.it/29EW
2015-03-08,Les Misérables,2012,https://boxd.it/2TT4
2015-03-08,The Green Mile,1999,https://boxd.it/2agG
2015-03-08,The Great Dictator,1940,https://boxd.it/29ic
2015-03-08,"I, Robot",2004,https://boxd.it/27y8
2015-03-08,The Hitchhiker's Guide to the Galaxy,2005,https://boxd.it/20VE
2015-03-08,The Pursuit of Happyness,2006,https://boxd.it/28PE
2015-03-08,Bad Boys,1995,https://boxd.it/1XVG
2015-03-08,The Boy in the Striped Pyjamas,2008,https://boxd.it/1NOK
2015-03-08,The Passion of the Christ,2004,https://boxd.it/29ZK
2015-12-11,Band of Brothers,2001,https://boxd.it/aRNY
2015-12-11,8 Mile,2002,https://boxd.it/2bew
2016-01-15,Inside Out,2015,https://boxd.it/4KHC
2016-01-15,Drive,2011,https://boxd.it/IG
2016-02-08,Foxcatcher,2014,https://boxd.it/35Di
2016-12-23,Se7en,1995,https://boxd.it/29zs
2017-02-11,Hidden Figures,2016,https://boxd.it/dgS4
2017-09-02,District 9,2009,https://boxd.it/1Iik
2017-12-02,Raging Bull,1980,https://boxd.it/28yI
2017-12-02,The Deer Hunter,1978,https://boxd.it/1T6O
2017-12-20,It's a Wonderful Life,1946,https://boxd.it/28xA
2018-05-31,The World's End,2013,https://boxd.it/3EiO
2018-06-12,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,https://boxd.it/29eY
2018-09-19,In the Heat of the Night,1967,https://boxd.it/1VLY
2018-09-19,Gone with the Wind,1939,https://boxd.it/29Fq
2018-11-03,The Aviator,2004,https://boxd.it/26BU
2018-11-03,Gangs of New York,2002,https://boxd.it/25FG
2018-12-19,Popstar: Never Stop Never Stopping,2016,https://boxd.it/blDa
2019-03-08,Chappie,2015,https://boxd.it/5Y3e
2019-05-31,21 Bridges,2019,https://boxd.it/juea
2019-05-31,Men in Black: International,2019,https://boxd.it/hdJw
2019-06-27,Ghost Dog: The Way of the Samurai,1999,https://boxd.it/23Ne
2019-07-22,Garden State,2004,https://boxd.it/2asW
2019-08-10,Burn After Reading,2008,https://boxd.it/23BW
2019-10-04,Monos,2019,https://boxd.it/eJGe
2019-12-15,Do the Right Thing,1989,https://boxd.it/29gA
2019-12-21,The Art of Self-Defense,2019,https://boxd.it/hf5y
2020-01-20,Midnight Cowboy,1969,https://boxd.it/25Hi
2020-01-20,Hunt for the Wilderpeople,2016,https://boxd.it/cTgG
2020-04-29,Ferris Bueller's Day Off,1986,https://boxd.it/1YPY
2020-08-05,True Romance,1993,https://boxd.it/2aBa
2020-08-07,Cloud Atlas,2012,https://boxd.it/2W60
2020-08-10,Kiss Kiss Bang Bang,2005,https://boxd.it/23c8
2020-08-13,Panama Canal: Gateway to the American Century,2011,https://boxd.it/ko4g
2020-10-15,The Intouchables,2011,https://boxd.it/2FT0
2021-02-28,The Founder,2016,https://boxd.it/9XwM
2021-04-29,Rebound: The Legend of Earl 'The Goat' Manigault,1996,https://boxd.it/1mEe
2021-07-23,Arrival,2016,https://boxd.it/aNGk
2021-07-27,Pig,2021,https://boxd.it/nzoW
2021-07-27,The Green Knight,2021,https://boxd.it/kuy2
