Date,Name,Year,Letterboxd URI
2021-01-24,Uncut Gems,2019,https://boxd.it/gXGc
2021-01-24,Inglourious Basterds,2009,https://boxd.it/1JzG
2021-01-24,Mad Max: Fury Road,2015,https://boxd.it/2DjO
2021-01-24,Call Me by Your Name,2017,https://boxd.it/dYmm
2021-01-24,Eternal Sunshine of the Spotless Mind,2004,https://boxd.it/6YK
2021-01-24,Spirited Away,2001,https://boxd.it/2b4m
2021-01-24,Portrait of a Lady on Fire,2019,https://boxd.it/jkPq
2021-01-24,Green Book,2018,https://boxd.it/hErk
2021-01-24,Full Metal Jacket,1987,https://boxd.it/2a1Q
2021-01-24,V for Vendetta,2005,https://boxd.it/29Ik
2021-01-24,10 Things I Hate About You,1999,https://boxd.it/23AO
2021-01-24,The Master,2012,https://boxd.it/2cBG
2021-01-24,Midnight in Paris,2011,https://boxd.it/i4a
2021-01-24,Before Sunset,2004,https://boxd.it/2bcg
2021-01-24,City of God,2002,https://boxd.it/2a2a
2021-01-24,The Girl with the Dragon Tattoo,2011,https://boxd.it/2Pa
2021-01-24,Cast Away,2000,https://boxd.it/20i8
2021-01-24,Snatch,2000,https://boxd.it/2b7U
2021-01-24,A.I. Artificial Intelligence,2001,https://boxd.it/29Ve
2021-01-24,Another Round,2020,https://boxd.it/lkba
2021-01-24,Primer,2004,https://boxd.it/6YA
2021-02-08,Soul,2020,https://boxd.it/ioLA
2021-02-08,Blade Runner 2049,2017,https://boxd.it/b8wK
2021-02-13,Before Sunrise,1995,https://boxd.it/2bcU
2021-02-28,Columbus,2017,https://boxd.it/eCuA
2021-05-01,Blood Diamond,2006,https://boxd.it/28Tm
2021-07-19,Coco,2017,https://boxd.it/bYJQ
2021-07-31,Boiling Point,2019,https://boxd.it/nTRu
2021-07-31,WALL·E,2008,https://boxd.it/1VEo
2021-07-31,There Will Be Blood,2007,https://boxd.it/20Z2
2021-07-31,Donnie Darko,2001,https://boxd.it/2b2A
2021-07-31,The Departed,2006,https://boxd.it/28MA
2021-07-31,Trainspotting,1996,https://boxd.it/29XY
2021-07-31,Blade Runner,1982,https://boxd.it/2bcA
2021-07-31,(500) Days of Summer,2009,https://boxd.it/1EmM
2021-07-31,Nomadland,2020,https://boxd.it/lnRy
2021-07-31,The Great Gatsby,2013,https://boxd.it/JY
2021-07-31,John Wick,2014,https://boxd.it/7dEc
2021-07-31,Toy Story 3,2010,https://boxd.it/1WRe
2021-07-31,Dune,2021,https://boxd.it/fA7G
2021-07-31,The Killing of a Sacred Deer,2017,https://boxd.it/dZ5G
2021-07-31,Pig,2021,https://boxd.it/nzoW
2021-07-31,Ocean's Twelve,2004,https://boxd.it/2aZ2
2021-07-31,American Beauty,1999,https://boxd.it/71Y
2021-07-31,12 Angry Men,1957,https://boxd.it/2auI
2021-07-31,"Girl, Interrupted",1999,https://boxd.it/25ds
